release,artist_name,artist_familiarity,artist_hotttnesss,year,term
Santa Loves to Boogie,Asleep At The Wheel,0.604259559858,0.461023015726,2007,rock
Rise From Within,Astarte,0.53708829702,0.352919183632,2000,rock
Circle Of Demons,At All Cost,0.640860156052,0.322206370044,2007,rock
Live at Brixton Academy 1999,Atari Teenage Riot,0.686811616813,0.443875676344,2000,techno
The Lonely Road,Atman,0.526077280017,0.374560252927,2002,vocal
The Greatest Hits - Vol. 2,Atomic Rooster,0.520757634637,0.404566537526,2005,rock
The Crash Of '47,Atomship,0.589942099118,0.360375718835,2004,techno
The Curse,Atreyu,0.821844255124,0.592439485528,2004,rock
Auf Der Maur,Auf Der Maur,0.569988889234,0.287481174185,2004,rock
Perdition Diaries,Autumnblaze,0.493891152979,0.35549595658,2009,rock
Now It's Spring,Avril,0.89717803847,0.438234413869,2000,techno
The Date - Dated Girls Remixes,Avril - Remix By Ana Rago,0.89717803847,0.438234413869,2002,techno
Under My Skin,Avril Lavigne,0.878401542469,0.620309820783,2004,rock
Equilibrium,Aynsley Lister,0.518518769247,0.366268839863,2009,rock
Live At The Olympia,Ayo,0.52259018455,0.390641235878,2006,soul
BalkanBeats Volume 2,Azis,0.499302192654,0.387294171694,2006,vocal
Hurricane Relief: Come Together Now,B.B. King,0.708735400038,0.542289933434,2002,rock
B.o.B Presents: The Adventures of Bobby Ray,B.o.B,0.768223624915,0.712534952937,2010,techno
Murder The Dance,BLEED THE SKY,0.646815252742,0.433173023114,2008,rock
Bee Stings,BMX Bandits,0.581028983196,0.348553028435,2007,rock
Tiger Woods PGA Tour 2005,BT,0.786427083379,0.512226738318,2006,vocal
Every Other Way,BT feat. JES,0.786427083379,0.512226738318,2010,vocal
Tha Smokin' Nephew,Baby Bash / Grimm,0.833893807853,0.602115454667,2003,reggae
Viva Life,Babylon Disco,0.4529831321,0.328094924692,2005,electronic
Sinverguenza,Bacilos,0.595554053513,0.400705227151,2004,rock
Roll Away,Back Door Slam,0.554548549782,0.411545813622,2007,rock
This Is Us,Backstreet Boys,0.851417628847,0.592614927352,2009,vocal
Money Run,Bad Azz,0.552053803339,0.34137626763,2003,rap
Process Of Belief,Bad Religion,0.858677441848,0.618219159412,2002,rock
Signs,Badmarsh & Shri,0.563421563097,0.402033856023,2001,techno
Hanji,Bally Sagoo,0.580971509957,0.348735929784,2003,rock
The Red Album,Baroness,0.73909928175,0.471126714521,2007,rock
Scars,Basement Jaxx,0.803619261844,0.531213286805,2009,vocal
Bassturk,BassTurk,0.234261758282,0.0,2008,r&b
To The 5 Boroughs,Beastie Boys,0.853124523276,0.591628024008,2004,rock
Beautiful Creatures,Beautiful Creatures,0.540299963799,0.40083206812,2001,rock
Live Up  & Close,Bebe Winans,0.600195392799,0.488181389999,2002,soul
Love And Freedom,Bebe Winans / Stephanie Mills,0.600195392799,0.488181389999,2000,soul
Lagrimas Negras,Bebo & Cigala,0.483703807104,0.351624468897,2003,jazz
Try,Bebo Norman,0.683771102049,0.513300123275,2004,vocal
Becstasy,Becky Baeling,0.506933335781,0.334851270474,2003,techno
Terminate Damnation,Becoming The Archetype,0.657826293473,0.446170543172,2005,rock
Emerald,Bedrock,0.654039350631,0.390624707501,2004,techno
Concept Of Life,Beenie Man,0.729212274097,0.481339308574,2006,vocal
Feel It Boy,Beenie Man Featuring Janet Jackson,0.729212274097,0.481339308574,2002,vocal
Zos Kia Cultus,Behemoth,0.842193350021,0.550422824859,2002,rock
Engram,Beherit,0.596184926664,0.427479241459,2009,soul
Dear Catastrophe Waitress,Belle & Sebastian,0.744734766783,0.565045659221,2003,rock
Bondage Goat Zombie,Belphegor,0.683525064982,0.4730831924,2008,rock
There Will Be A Light,Ben Harper And The Blind Boys Of Alabama,0.578648938866,0.376582961799,2004,soul
Give It All Away,Ben Jelen,0.630247495104,0.377904479782,2004,rock
Dylan Different,Ben Sidran,0.599935171947,0.356795543167,2009,rock
Outspoken Part 1,Ben Watt feat. Estelle,0.612235270886,0.385209427413,2005,vocal
Live Au Grand Rex,Benabar,0.609294155146,0.373060492812,2001,techno
What Demons Do To Saints,Beneath The Sky,0.720212051521,0.476300189711,2007,reggae
GetDarker Presents THIS IS DUBSTEP 2,Benga,0.703823889866,0.464736060695,2006,rap
Bssst.....Tisincina!,Beogradski Sindikat,0.520002445239,0.460875113449,2002,rap
Can't Stop A Man,Beres Hammond,0.681084419844,0.453371188065,2003,vocal
Voyeur,Berlin,0.651772658526,0.524477183577,2002,rock
Cantigas De Nadal,Berrogüetto,0.554851897526,0.386861224736,2000,folk
Testosterona,Bersuit Vergarabat,0.615504102642,0.439836358888,2005,soul
Bessie Smith,Bessie Smith,0.637521050415,0.404798068262,2007,vocal
The Anatomy Of,Between The Buried And Me,0.840590438336,0.546545161955,2006,vocal
The Beyonce Experience Live Audio,Beyoncé,0.889460725348,0.612067268298,2006,vocal
Check On It,Beyoncé feat. Slim Thug,0.889460725348,0.612067268298,2005,vocal
Urban Car Tunes 2 (Megamix),Big Daddy Kane,0.645022665897,0.457711511559,2001,soul
Keep An Eye On The Sky,Big Star,0.741040432796,0.496508118721,2009,vocal
Hex,BigElf,0.628290856614,0.364163810272,2003,rock
The Full Album,Bikini Machine,0.588924229387,0.290997288204,2009,techno
Raw Deal,Bill Perry,0.48376273201,0.332177444973,2004,soul
I Keep Faith,Billy Bragg,0.703690572411,0.529195922281,2008,soul
Double R,Bizzy Bone Presents,0.75418083313,0.4762541622,2004,soul
Welcome To Norway,Black Debbath,0.480401970296,0.392325282528,2001,rock
Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,Black Eyed Peas,0.84560188664,1.00594196595,2004,soul
Bridging The Gap,Black Eyed Peas / Les Nubians / Mos Def,0.84560188664,1.00594196595,2000,soul
Legally Blonde,Black Eyed Peas / Terry Dexter,0.84560188664,1.00594196595,2000,soul
Reggae Salute,Black History,0.732571744691,0.45798167407,2001,soul
First War Of The World,Black Messiah,0.506776330414,0.427797718938,2009,rock
Black Tambourine,Black Tambourine,0.575805715274,0.39717034145,2010,rock
The Craft,Blackalicious,0.697113662713,0.518784102366,2005,soul
All the Published Sides,Blind Blake,0.521672995281,0.351345077093,2006,jazz
Goin' Mad Blues Vol. 6,Blind Boy Fuller,0.541231189007,0.360170271249,2005,rock
Penitentiary Blues,Blind Lemon Jefferson,0.594866645475,0.3828469015,2007,soul
The Devil Can't Hide From Me,Blind Willie McTell,0.591428551964,0.385344913733,2001,rock
blink-182,Blink-182,0.851351443053,0.582346373958,2003,rock
Sellout Sessions 03,Bloc Party,0.827776802195,0.537799608198,2009,techno
Café Solaire 11-Download Edition,Bloomfield,0.509380155077,0.355667956383,2006,jazz
Approaching Normal,Blue October,0.778534708104,0.490768668837,2009,soul
The Things We Left Behind,Blue Rodeo,0.63642364495,0.44793548048,2009,soul
Mr. Sad Clown,BoDeans,0.617608693987,0.405967369202,2010,rock
Thanks For The Memory,Bob Hope,0.437599071864,0.33641973758,2003,rock
Mystic Mixes - An Exclusive Remix Collection,Bob Marley & The Wailers,0.778835827402,0.570106511951,2001,rock
Texas Playboys,Bob Willis,0.498834975258,0.379960766975,2000,folk
Apologize For Nothing,Bobaflex,0.588781959369,0.415408951868,2005,rock
The Original Memphis Blues Brothers,Bobby Bland,0.579440349906,0.390981123526,2006,soul
Things & Other Things,Bobby Darin,0.704411470237,0.469425907976,2003,vocal
Split CD,Bodies In the Gears of the Apparatus,0.622030971925,0.409518728402,2005,rock
Introducing&,Bombay Rockers,0.531757816309,0.335933116022,2004,techno
Whole Lot Of Leavin',Bon Jovi,0.839297677568,0.71889145567,2007,vocal
Misunderstood,Bon Jovi / Ray Davies,0.839297677568,0.71889145567,2002,vocal
BTNHRESURRECTION,Bone Thugs-N-Harmony,0.815923420344,0.555138321923,2000,soul
Strength & Loyalty,Bone Thugs-N-Harmony / Akon,0.815923420344,0.555138321923,2007,soul
Shake It Up,Boney James And Rick Braun,0.328179991307,0.201037195321,2000,techno
Live From the Relapse Contamination Festival,Bongzilla,0.574400788692,0.446071584412,2002,rock
Then Came You,Boogie Pimps,0.627997389723,0.365339652714,2007,techno
South Of Hell,Boondox,0.780866545768,0.460456542785,2010,rock
The Omaha Record,Bottom Of The Hudson,0.498758408114,0.3584235862,2003,indie
Nah No Mercy - The Warlord Scrolls,Bounty Killer,0.693287838551,0.393274491405,2001,techno
Girl Bites Dog_ Your Compact Disc Pet,Bow Wow Wow,0.659139476822,0.413261378295,2003,rock
Love,Boyz II Men,0.790922847956,0.601184941794,2009,vocal
Bravehearted (Clean),Bravehearts,0.505163004914,0.371960266493,2003,rap
Music For Cocktails - Fashion Show,Brenda Boykin,0.440258822165,0.393359337621,2008,vocal
Welcome Home,Brian Littrell,0.682508009761,0.425632479535,2006,pop
Partition,Brian Tyler,0.675295469456,0.442696719581,2007,rock
The Singles Collection,Britney Spears,0.947327506635,0.607257279581,2000,techno
Touch My Soul_ Vol. 23,Britney Spears feat. Pharrell Williams,0.153605548145,0.607257279581,2001,techno
Set The World On Fire (Premiere Performance Plus Track),Britt Nicole,0.669500125221,0.544446276904,2007,techno
The Future Crayon,Broadcast,0.691850736596,0.467885511383,2000,rock
Chain Letter,Brooke Valentine,0.705745818021,0.359064295989,2005,soul
Hold Up My Heart,Brooke White,0.698771966183,0.440670096494,2009,rock
The New Kingdom,Bruno Sanfilippo,0.540971094599,0.371900479752,2006,instrumental
Frantic,Bryan Ferry,0.694802519782,0.561830537939,2002,rock
Jukebox Hits 1940-1951,Buddy Johnson,0.382082404828,0.290206823029,2005,soul
Friends For Life,Buju Banton,0.710374812691,0.505883168684,2003,reggae
The Poison,Bullet For My Valentine,0.631050319904,0.609481161338,2005,rock
Abnormal,Bumblefoot,0.645533996473,0.448407442123,2008,soul
Soul Kitchen (The Original Motion Picture Soundtrack),Burning Spear,0.674237799591,0.465270210086,2009,rock
It's Nothing Personal,Bury Your Dead,0.825962346021,0.506804744418,2009,techno
Well Deep: Ten Years Of Big Dada,Busdriver,0.618002714909,0.349476327198,2004,rock
Fear Of A Black Tangent,Busdriver featuring Abstract Rude & Ellay Khule,0.618002714909,0.349476327198,2005,rock
It Ain't Safe No More,Busta Rhymes,0.80982809184,0.539644312424,2002,rock
Chronology,Buzzcocks,0.700446614386,0.528795206131,2008,rock
Disconnected,Buzzhorn,0.47362672753,0.378498493106,2002,rock
Hold That Train,Byther Smith,0.465194733342,0.362284090126,2004,soul
Oblivion Beckons,Byzantine,0.59648248193,0.393956636782,2008,techno
Reprise Des Négociations,Bénabar,0.609294155146,0.373060492812,2005,techno
Lafayette Marquis_ The,C.C. Adcock,0.423385846796,0.367007961493,2004,soul
American Me 12,C.L. Smooth,0.545787042144,0.348755667902,2006,techno
Amores Difíciles,Cabas,0.606267926942,0.397414663377,2008,rock
The Grand,Cabin Crew,0.572144337664,0.340750193732,2009,vocal
Corona Borealis,Cadacross,0.521143520329,0.39444029407,2002,rock
La taberna del Buda,Café Quijano,0.551682526284,0.352338667915,2001,rock
Comfort Eagle,Cake,0.794331284495,0.650665868274,2001,soul
Sounds Out Burt Bacharach,Cal Tjader,0.624200327635,0.369076870549,2003,rock
Menteur / L'Amour Parfait,Cali,0.616884544037,0.343844499414,2003,rock
Unsinkable,Call To Preserve,0.634764556371,0.423976263499,2006,punk
Purple Haze,Cam'Ron,0.858270677796,0.515325300572,2004,soul
Purple Haze,Cam'Ron / JR Writer,0.858270677796,0.515325300572,2004,soul
Come Home With Me,Cam'Ron / Juelz Santana,0.858270677796,0.515325300572,2002,soul
Come Home With Me,Cam'Ron / Juelz Santana / Jimmy Jones,0.858270677796,0.515325300572,2002,soul
In this Life,Cama,0.406187449275,0.273453727253,2009,rock
Another Heist,Camp Lo,0.655483478445,0.445216987441,2009,soul
Sabotage,Cancer Bats,0.6898005928,0.533842727049,2010,rock
Into The Sun [Explicit],Candlebox,0.657566887241,0.507625007837,2008,rock
Fantasy,Candy Lo,0.484463044052,0.342537003163,2001,rock
More Fire,Capleton,0.662250483665,0.410053622676,2000,vocal
Channel 10,Capone-N-Noreaga,0.585680703872,0.430544695681,2009,reggae
Channel 10,Capone-N-Noreaga feat. Busta Rhymes and Ron Browz,0.585680703872,0.44062411002,2009,reggae
Vibrant,Cargo Cult,0.450559425031,0.327368615167,2004,rock
De mi puño y letra - Edicion Coleccionista,Carlos Baute,0.603843764924,0.51281210294,2008,rock
Un Galicien En Bretagne,Carlos Nuñez,0.53570252813,0.384986116578,2003,rock
Ponce,Carlos Ponce,0.603550951818,0.303618163119,2002,pop
Coleccion de Oro,Carlos Vives,0.62096398106,0.413254693459,2000,rock
Afraid Of Change,Casa Bulga,0.200729608077,0.0,2003,electronic
Vs. Children,Casiotone For The Painfully Alone,0.665322161906,0.394217198901,2009,rock
Everybody's Talking_ Nobody's Listening!,Caspa,0.657578621198,0.422364007618,2009,rap
The Four Trees,Caspian,0.68012382912,0.39871394817,2007,rock
Long Way 2 Go,Cassie,0.821121431336,0.476803353534,2006,soul
Il·luminacions,Casual,0.581793765845,0.401997543364,2008,rock
El Número Imperfecto,Catupecu Machu,0.616594467166,0.444086812124,2004,rock
So Far From Real,Cauterize,0.537908276132,0.41772733755,2003,rock
The Pride of Country,Charley Pride,0.580798777682,0.38934175191,2002,vocal
Byrd & Brazil,Charlie Byrd,0.527339183499,0.31055608318,2004,soul
American Dreams,Charlie Haden,0.618296843973,0.375374819487,2002,techno
IRM,Charlotte Gainsbourg,0.74400791471,0.520049688179,2009,vocal
Rock And Roll Yo,Charly Garcia,0.620027189185,0.440370730666,2003,rock
Rock And Roll Yo,Charly García,0.620027189185,0.440370730666,2003,rock
Ten Tonne EP,Chase & Status,0.654594982443,0.396356236945,2005,soul
Francisco Forro Y Frevo,Chico Cesar,0.584225422145,0.359873045913,2008,rock
Resurrection,Chimaira,0.837450128295,0.476760867098,2007,rock
Weekend Songs,Chris Rea,0.643182772912,0.500691340913,2008,soul
Soul Express,Chris Standring,0.564710159052,0.415937640828,2006,soul
Mi Reflejo,Christina Aguilera,0.831240276991,0.737884133178,2000,vocal
We Are Marshall,Christophe Beck,0.478083521069,0.378387397783,2006,rock
Graveyard Mountain Home,Chroma Key,0.578824936197,0.401059706618,2004,rock
Starting Now,Chuck Wicks,0.769967819263,0.48081244861,2008,folk
Ketukuba,Chéco Feliciano And Joe King,0.56304868882,0.348226729698,2006,techno
Galtrim,Ciaran Byrne,0.449740839577,0.374375168216,2006,electronic
House Full Of No Trust,Cinder,0.553194233521,0.359807225003,2006,rock
Counterfeit,Cirrus,0.606575679456,0.398394107052,2002,techno
Tip World Singles 2000,Citizen Kaned,0.483339421556,0.277561737753,2000,electronic
Ultimate R&B,City High,0.645316973618,0.401090253662,2001,soul
Blues Legends 1930 - 1939,Cliff Bruner,0.320974666144,0.193843483708,2004,vocal
Live! At Grant Street,Clifton Chenier,0.504223776881,0.377432971579,2001,rock
Unforgiven,Cockney Rejects,0.608824805464,0.42865098879,2007,rock
Israel's King,Cocoa Tea,0.595645308494,0.426009300484,2008,soul
Melancholie²,ColdWorld,0.537131259311,0.473133096898,2008,rock
Speed Of Sound,Coldplay,0.8650215115,0.916053228284,2005,rock
Traveler,Colin James,0.523962423072,0.44086755723,2003,soul
Voodoo Love Inna Champeta Land,Colombiafrica - The Mystic Orchestra,0.494643265009,0.201307558029,2007,reggae
Hey Trouble,Concretes,0.693258487631,0.484124713374,2007,vocal
Greatest Hits,Confetti's,0.436660213131,0.299120014474,2001,vocal
The Essential Connie Smith,Connie Smith,0.496794627851,0.36526089322,2001,rock
Unloved and Weeded Out,Converge,0.810506205225,0.531157063062,2003,vocal
Conway Twitty's Big Train,Conway Twitty,0.663231984801,0.493711076643,2009,vocal
House Candy - Bienvenue a La Discoteque,Cookies,0.47880444527,0.31282776658,2005,rap
That Which Remains,Coph Nia,0.562466849893,0.354934743221,2000,techno
Lapland,Craig Wedren,0.543053587862,0.353252663335,2005,rock
De beste liedjes,Crazy Horse,0.540279892402,0.34219231046,2006,rock
The Process of Endtime,Crematorium,0.548674174782,0.305093197499,2005,metal
Cross Country,Cross Country,0.375195664322,0.355707867004,2009,rock
Planet CruCon,Crucial Conflict,0.61428226247,0.399377231781,2008,rap
Future Shock,Curtis Mayfield,0.786921231369,0.495306693411,2006,soul
In Ghost Colours,Cut Copy,0.769944259082,0.536173552416,2008,rock
Taking Chances,Céline Dion,0.737437395434,0.663686475969,2007,vocal
Begin,D:Fuse,0.537425311421,0.305734031084,2004,techno
The Gorge,DAVE MATTHEWS BAND,0.811890081171,0.657583813676,2001,soul
Hold Me,DCX,0.469018735218,0.333432326798,2008,rock
On The Run / Back For More / Got You Moving EP,DJ DLG feat. MC Flipside,0.569481833479,0.371935265104,2006,techno
Da Bomb Vol 6,DJ Godfather,0.491256209492,0.32620825462,2003,techno
Freak it all Night,DJ Guy,0.388546283708,0.251895538548,2009,techno
The String Cheese Remix Project,DJ Harry,0.487077751135,0.315690276816,2001,techno
A Little Louder / Dreams,DJ Icey,0.682320611152,0.433126587562,2003,techno
Born And Raised In Compton: The Greatest Hits,DJ Quik,0.712098902128,0.413393911287,2000,rock
The Great Depression,DMX,0.822316235979,0.50881319501,2001,soul
Grand Champ,DMX / Eve / Jadakiss,0.822316235979,0.50881319501,2003,soul
The Hinderers,Daath,0.473963333208,0.3507066599,2006,rock
Talento De Barrio,Daddy Yankee,0.90898429564,0.562506672289,2008,reggae
Barrio Fino,Daddy Yankee / May-Be,0.90898429564,0.562506672289,2004,reggae
Everybody is Someone,Dala,0.58948340591,0.376745428989,2009,vocal
Ek-Dana,Daler Mehndi,0.605278551259,0.35018273201,2000,pop
Out Here All Night,Damone,0.581082685024,0.390023846582,2006,techno
Lost And Found,Daniel Johnston,0.713322146547,0.473613189375,2006,rock
When The Broken Hearted Love Again,Danielle Bollinger,0.505269395522,0.0,2006,vocal
. . . Till Then,Danilo Perez,0.331874146457,0.322823300136,2003,jazz
Across The Crystal Sea,Danilo Perez / Claus Ogerman,0.331874146457,0.277119513467,2008,jazz
Get Myself Together,Danny Barnes,0.474983458228,0.435252323542,2005,rock
The Kingdom,Danny Elfman,0.76682620546,0.549445961004,2007,rock
Ojo,Darden Smith,0.485855595673,0.362960597112,2002,rock
The Soloist,Dario Marianelli,0.613464932135,0.412115553459,2009,jazz
Ylem,Dark Fortress,0.633932725779,0.416529399637,2010,rock
Ghostly Swim,Dark Party,0.506168491079,0.384244951714,2008,rock
Twelve Year Silence,Dark new Day,0.772670725606,0.471170681046,2005,rock
I Miss My Friend,Darryl Worley,0.757389969929,0.516764030267,2002,rock
Don't Let The Bastards Get You Down,Dart,0.443246311576,0.208174546945,2002,alternative
Worshipper,Darwin Hobbs,0.526515278111,0.406581680352,2005,soul
Orphan,Darwin's Waiting Room,0.508421718375,0.335811920382,2001,rock
Canada Songs,Daughters,0.676869596869,0.384133614306,2003,rock
Songs For The Wrong,Dave Brockie Experience,0.484333757966,0.335935512252,2003,rock
Left Of Blue,Dave Eggar,0.450361260877,0.267757495381,2005,soul
Witness Protection,Dave Hollister,0.612543003669,0.459660463222,2008,soul
Chillout Lounge,David Arkenstone,0.639436948822,0.430942043436,2009,rock
The Greatest Story Ever Told,David Banner,0.806364124765,0.512455642577,2008,soul
Here's To You Charlie Brown - 50 Great Years!,David Benoit,0.609742242844,0.478532200457,2000,pop
David Cook,David Cook,0.862099766579,0.530772085241,2008,techno
Arnold Layne,David Gilmour Featuring Richard Wright,0.71603520847,0.541656322286,2006,rock
In A Mellow Mood,David Rose & His Orchestra,0.369354252451,0.305024582249,2004,pop
Zero To Hero,David Tao,0.48200699857,0.415897128457,2009,soul
We Sing of Only Blood or Love,Dax Riggs,0.627917468411,0.473918437,2007,vocal
The Grind Date,De La Soul / MF Doom,0.745625187742,0.513065654505,2004,rock
Let's Get Free,Dead Prez,0.676492513014,0.469513899696,2000,rap
Little Brother,Dead To Me,0.710531387969,0.433728781426,2008,rock
Action / Adventure,Dealership,0.494911483413,0.307188709041,2004,rock
Once In A While,Dean Martin,0.708436678094,0.623970265514,2002,vocal
Narrow Stairs,Death Cab for Cutie,0.831253649964,0.601427203912,2008,rock
You're A Woman_ I'm A Machine,Death From Above 1979,0.738594498768,0.467071006345,2004,rock
The 7th Seal,Death SS,0.484409122625,0.450129048418,2006,rock
Karaoke: Country Queen - Singing to the Hits,Deborah Allen,0.510798010512,0.352235516546,2005,vocal
Soft Place To Fall,Deborah Coleman,0.483074640191,0.33945731536,2000,rock
Greatest Hits,Dee Clark,0.533650139488,0.343508877692,2000,vocal
Breaks_ Beats & Blondes,Deekline & Wizard,0.332330882213,0.0,2004,soul
Euphoria: A Decade of Trance Anthems,Deepest Blue,0.612045793506,0.342375578291,2004,techno
Odds & Evens,Defari,0.596172381056,0.355155449955,2003,soul
White Pony,Deftones,0.821697316739,0.60172975571,2000,soul
Revealed,Deitrick Haddon,0.673653885322,0.461679633089,2008,soul
Voices Of Americana: Delbert McClinton,Delbert McClinton,0.69992476451,0.449668690752,2000,soul
Fuse Box Glo / Mezzamorphis,Delirious,0.674854147219,0.46375778392,2000,techno
Dub Plate Style,Delroy Wilson,0.58344302355,0.385787614584,2009,soul
Die Pfütze des Eisbergs,Dendemann,0.572051286962,0.450432129914,2006,soul
DownTemple Dub: Flames,Desert Dwellers,0.491050168296,0.355008768729,2006,techno
