title,release,artist_name,duration,artist_familiarity,artist_hotttnesss,year,term
El Perro,Segundo,Juana Molina,401.65832,0.703664889917,0.448223589227,2003,acoustic
Micael,Son,Juana Molina,183.64036,0.703664889917,0.448223589227,2006,acoustic
j Uh!,Tres Cosas,Juana Molina,213.26322,0.703664889917,0.448223589227,2004,acoustic
Isabel,Tres Cosas,Juana Molina,262.89587,0.703664889917,0.448223589227,2004,acoustic
Use Of A Weapon (Album Version),Between The Buried And Me,Between The Buried And Me,291.39546,0.840590438336,0.546545161955,2002,acoustic
Prequel To The Sequel (Album Version),Colors,Between The Buried And Me,516.62322,0.840590438336,0.546545161955,2007,acoustic
Foam Born (A) The Backtrack (Album Version),Colors,Between The Buried And Me,133.82485,0.840590438336,0.546545161955,2007,acoustic
Geek USA (Album Version),The Anatomy Of,Between The Buried And Me,325.11955,0.840590438336,0.546545161955,2006,acoustic
Kickstart My Heart (Album Version),The Anatomy Of,Between The Buried And Me,295.28771,0.840590438336,0.546545161955,2006,acoustic
Doggin' Around,No-One to Blame,Rita Chiarelli,237.7922,0.404823303308,0.288050285376,2004,acoustic
Grits Ain't Groceries,No-One to Blame,Rita Chiarelli,208.40444,0.404823303308,0.288050285376,2004,acoustic
Reginella,The Italian Sessions,Rita Chiarelli,261.04118,0.404823303308,0.288050285376,2006,acoustic
Chiove,The Italian Sessions,Rita Chiarelli,228.38812,0.404823303308,0.288050285376,2006,acoustic
Baby Don't You Change,Hold On,Tyrone Wells,252.65587,0.689793071149,0.377849172963,2005,acoustic
Need,Hold On,Tyrone Wells,204.59057,0.689793071149,0.377849172963,2005,acoustic
Slave Song,Lovers Rock,Sade,252.47302,0.771492149522,0.517342285953,2000,acoustic
All About Our Love,Lovers Rock,Sade,160.62649,0.771492149522,0.517342285953,2000,acoustic
Morning Bird,Soldier of Love,Sade,234.26567,0.771492149522,0.517342285953,2010,acoustic
Cleo's Mood,Don't Mess With Mr T,James Taylor Quartet,188.94322,0.583178831042,0.434253341236,2007,acoustic
Got To Give It Up,Don't Mess With Mr T,James Taylor Quartet,198.3473,0.583178831042,0.434253341236,2007,acoustic
The Obsession,The Oscillator,The James Taylor Quartet,283.37587,0.583178831042,0.434253341236,2003,acoustic
Chain (Album Version),The Fire Theft,The Fire Theft,223.37261,0.520810395873,0.403490279552,2003,acoustic
When The Saints Go Marching In,Fool Me Good,Precious Bryant,164.8322,0.462996094372,0.329391949162,2002,acoustic
Blues All Around My Bed,Fool Me Good,Precious Bryant,154.30485,0.462996094372,0.329391949162,2002,acoustic
Dark Angel,The Truth,Precious Bryant,193.72363,0.462996094372,0.329391949162,2005,acoustic
Hold Up My Heart,Hold Up My Heart,Brooke White,233.79546,0.698771966183,0.440670096494,2009,acoustic
Rock The Night,Hymns In The Key Of 666,Hellsongs,272.14322,0.62363762364,0.418189946578,2008,acoustic
Stay Loose,Dear Catastrophe Waitress,Belle & Sebastian,401.8673,0.744734766783,0.565045659221,2003,acoustic
Long Way 2 Go (Album Version),Long Way 2 Go,Cassie,222.74567,0.821121431336,0.476803353534,2006,acoustic
Dry Bone Shuffle,All the Published Sides,Blind Blake,199.1571,0.521672995281,0.351345077093,2006,acoustic
Streamline,Steal This Album!,System of a Down,217.59955,0.909957522742,0.587916678788,2001,acoustic
Ship in a Painting,1408,Gabriel Yared,100.0224,0.61180147146,0.399042081432,2007,acoustic
Les chasseurs d'esclaves,Azur et Asmar,Gabriel Yared,118.83057,0.61180147146,0.399042081432,2006,acoustic
La clé parfumée,Azur et Asmar,Gabriel Yared,53.31546,0.61180147146,0.399042081432,2006,acoustic
Devon,Sylvia,Gabriel Yared,229.98159,0.61180147146,0.399042081432,2003,acoustic
Mill Creek,Circo,Darden Smith,234.73587,0.485855595673,0.362960597112,2004,acoustic
Perfect Moment,Ojo,Darden Smith,270.62812,0.485855595673,0.362960597112,2002,acoustic
Beneath an Evening Sky,Our Favorite Things,Aisha Duo,288.60036,0.63807337636,0.417967347263,2005,acoustic
Sea_ Subsurface,Quiet Songs,Aisha Duo,350.64118,0.63807337636,0.417967347263,2005,acoustic
Welcome,Brother Bear Original Soundtrack (English Version),Phil Collins,216.92036,0.655921417588,0.578301633597,2003,acoustic
Testify,Love Songs,Phil Collins,392.82893,0.814506223599,0.584836888719,2002,acoustic
Away In A Manger,Navidad,Lara & Reyes,92.70812,0.338956022388,0.351561406961,2000,acoustic
Wigue,Djekpa la you,Dobet Gnahoré,46.21016,0.450053568333,0.395352792495,2010,acoustic
Evigne,Djekpa la you,Dobet Gnahoré,251.79383,0.450053568333,0.395352792495,2010,acoustic
Been There All The Time,Been There All The Time,Dinosaur Jr.,220.70812,0.749796959401,0.551552455156,2007,acoustic
All Of This,blink-182,Blink-182,280.00608,0.851351443053,0.582346373958,2003,acoustic
Pretend,Just A Little Lovin',Shelby Lynne,167.07873,0.685691649,0.542502096105,2008,acoustic
Old Times Sake,Suit Yourself,Shelby Lynne,290.97751,0.685691649,0.542502096105,2005,acoustic
American Dreams,American Dreams,Charlie Haden,292.17914,0.618296843973,0.375374819487,2002,acoustic
Prayer For The Dying (Live In Paris),Live In Paris,Seal,304.14322,0.567313224122,0.58001318294,2005,acoustic
I'm Alive (BT & Sasha Mix),Seal Best Remixes 1991-2005,Seal,828.05506,0.567313224122,0.58001318294,2001,acoustic
Summer Summer,Monster Monster,The Almost,240.79628,0.829851316499,0.581505802686,2009,acoustic
Books & Books,Monster Monster,The Almost,210.59873,0.829851316499,0.581505802686,2009,acoustic
Little Drummer Boy,X Christmas,The Almost,187.11465,0.829851316499,0.581505802686,2008,acoustic
Long Way Home,Charlotte's Web (OST),Ginny Owens,256.39138,0.620709541442,0.462515066506,2006,acoustic
Three Little Birds,Legend,Bob Marley & The Wailers,320.15628,0.780264380801,0.570106511951,2007,acoustic
Rainbow Country (Red Gold And Green Version),Mystic Mixes - An Exclusive Remix Collection,Bob Marley & The Wailers,258.29832,0.778835827402,0.570106511951,2001,acoustic
Blues,Essential_ The Very Best Of...,Terry Callier,180.50567,0.706827671304,0.416173064627,2001,acoustic
Satin Doll,I Just Can't Help Myself,Terry Callier,258.19383,0.706827671304,0.416173064627,2007,acoustic
Kitteldags,Jaktens Tid,Finntroll,125.46567,0.636436672421,0.429097811994,2001,acoustic
Hel Vete,Nattfödd,Finntroll,255.00689,0.636436672421,0.429097811994,2004,acoustic
Grottans Barn,Nattfödd,Finntroll,276.45342,0.636436672421,0.429097811994,2004,acoustic
Ett Norrskensdåd,Nifelvind,Finntroll,214.30812,0.636436672421,0.429097811994,2010,acoustic
Ormhäxan,Ur Jordens Djup,Finntroll,278.93506,0.636436672421,0.429097811994,2007,acoustic
Boomerang (Reprise),Counterfeit,Cirrus,193.72363,0.606575679456,0.398394107052,2002,acoustic
Love Like This,Love Like This,Natasha Bedingfield,341.41995,0.900967633961,0.769674279295,2008,acoustic
These Words,These Words (I Love You_ I Love You),Natasha Bedingfield,377.25995,0.900967633961,0.769674279295,2004,acoustic
I Can't Quit You Baby (Live) [Never Released],Tacos Deluxe,The Fabulous Thunderbirds,342.20363,0.623154283971,0.429353514999,2003,acoustic
The One I Got,Long Time Coming,Jonny Lang,208.32608,0.698969925264,0.486783024923,2003,acoustic
One Person At A Time,Turn Around,Jonny Lang,182.80444,0.698969925264,0.486783024923,2006,acoustic
Grey Skies Turn Blue,Panic,MxPx,183.97995,0.763010513431,0.537675628064,2004,acoustic
Answer In The Question,The Ever Passing Moment,MxPx,129.88036,0.763010513431,0.537675628064,2000,acoustic
Time Will Tell,The Renaissance,MxPx,88.73751,0.763010513431,0.537675628064,2001,acoustic
The Matter With You (Part I_ Ii_ Iii),Now It's Spring,Avril,651.59791,0.89717803847,0.438234413869,2000,acoustic
The Date (Remix By Ana Rago),The Date - Dated Girls Remixes,Avril - Remix By Ana Rago,188.39465,0.89717803847,0.438234413869,2002,acoustic
Redwing,Eveningland,Hem,252.86485,0.632242851126,0.453435791193,2004,acoustic
Have Yourself A Merry Little Christmas,Peace At Last - EP,Hem,133.27628,0.632242851126,0.453435791193,2005,acoustic
When I Was Drinking,Rabbit Songs,Hem,222.74567,0.632242851126,0.453435791193,2000,acoustic
Polly's Dress,Rabbit Songs,Hem,71.05261,0.632242851126,0.453435791193,2000,acoustic
Fortunate Fool,Brushfire Fairytales,Jack Johnson,228.70159,0.832011769132,0.677482479432,2000,acoustic
Inaudible Melodies,Brushfire Fairytales,Jack Johnson,207.09832,0.832011769132,0.694128502959,2000,acoustic
It's All Understood,Flake,Jack Johnson,215.87546,0.832011769132,0.643072292611,2000,acoustic
Adrift,Sleep Through The Static,Jack Johnson,236.19873,0.832011770647,0.643072292611,2008,acoustic
Monsoon,Sleep Through The Static: Remixed,Jack Johnson,264.82893,0.832011769132,0.677482479432,2008,acoustic
Fall Line,Talk Of The Town,Jack Johnson and Friends / Matt Costa,136.30649,0.832011770647,0.643072292611,2003,acoustic
You And Your Heart,You And Your Heart,Jack Johnson,196.20526,0.832011770647,0.677482479432,2010,acoustic
Everybody,Bring It On Rarities & Remixes,Goose,276.13995,0.695593351275,0.444935182412,2006,acoustic
Bring It On,Bring It On Rarities & Remixes,Goose,395.85914,0.695593351275,0.444935182412,2006,acoustic
Kick Out The Jams,Live at the Grand Olympic Auditorium,Rage Against The Machine,201.56036,0.783458021053,0.589086799818,2000,acoustic
Why_ Now Baby?,My Suitcase Is Always Packed,Red Stick Ramblers,194.0371,0.550752434793,0.37604874875,2000,acoustic
A Costa De Galicia,Carlos Nunez En Concert,Carlos Nuñez,237.87057,0.53570252813,0.384986116578,2002,acoustic
Camiño De Santiago,Carlos Nunez En Concert,Carlos Nuñez,275.43465,0.53570252813,0.384986116578,2004,acoustic
Quiero Ir Ao Mar,Cinema Do Mar,Carlos Nuñez,215.35302,0.53570252813,0.384986116578,2005,acoustic
Gabriel's Oboe (La Mision),Cinema Do Mar,Carlos Nuñez,179.64363,0.53570252813,0.384986116578,2007,acoustic
St Patrick's An Dro,Un Galicien En Bretagne,Carlos Nuñez,213.89016,0.53570252813,0.384986116578,2003,acoustic
Under The Weather,Eye To The Telescope,KT Tunstall,216.5024,0.793708084007,0.589856179924,2004,acoustic
Boo Hoo,Eye To The Telescope / KT Tunstall's Acoustic Extravaganza,KT Tunstall,295.07873,0.793708084007,0.589856179924,2005,acoustic
Boo Hoo,Other Side Of The World,KT Tunstall,308.63628,0.793708084007,0.589856179924,2005,acoustic
Paper Aeroplane (Live From 'Drastic Fantastic' Tour),Saving My Face,KT Tunstall,282.5922,0.793708084007,0.589856179924,2007,acoustic
Excerpt Of A Speech By Marcus Mosiah Garvey,Friends For Life,Buju Banton,56.842,0.710374812691,0.505883168684,2003,acoustic
Bloody Pig Pile (Live),Live On St. Patrick's Day,Dropkick Murphys,196.72771,0.793094370082,0.568491815445,2002,acoustic
The Burden (Album Version),The Warrior's Code,Dropkick Murphys,175.96036,0.793094370082,0.568491815445,2005,acoustic
Up On That Cloud,Are You Ready,Blue Rodeo,213.34159,0.63642364495,0.44793548048,2005,acoustic
Mystic River,Small Miracles,Blue Rodeo,251.402,0.63642364495,0.44793548048,2007,acoustic
Never Look Back,The Things We Left Behind,Blue Rodeo,199.05261,0.63642364495,0.44793548048,2009,acoustic
Million Miles,The Things We Left Behind,Blue Rodeo,543.97342,0.63642364495,0.44793548048,2009,acoustic
Janice's Party,Out-Of-State Plates,Fountains Of Wayne,165.61587,0.717762702253,0.532266186253,2005,acoustic
You Gotta Go,Traffic and Weather,Fountains Of Wayne,126.87628,0.717762702253,0.532266186253,2007,acoustic
Shadow,Reach,Warren Barfield,207.51628,0.651957876937,0.436220548184,2006,acoustic
Unleashed,Reach,Warren Barfield,216.81587,0.651957876937,0.436220548184,2006,acoustic
I Know Where I Am Now,Special Homecoming Moments,Jake Hess,298.89261,0.374553435682,0.327543813378,2004,acoustic
So Many Reasons,Tribute To Jake Hess,Jake Hess,168.77669,0.374553435682,0.327543813378,2004,acoustic
Kablammin' It,Wonders Of The World,Long Beach Dub Allstars,282.61832,0.575412600552,0.417351055803,2001,acoustic
Free Love,Wonders Of The World,Long Beach Dub Allstars,205.11302,0.575412600552,0.417351055803,2001,acoustic
Souvenirs,Hey Trouble,Concretes,204.85179,0.693258487631,0.484124713374,2007,acoustic
My Never,Approaching Normal,Blue October,225.67138,0.778534708104,0.490768668837,2009,acoustic
Blue Skies,Approaching Normal,Blue October,223.29424,0.778534708104,0.490768668837,2009,acoustic
Inherent Scars,The Whore's Trophy,Symphony in Peril,245.13261,0.610632338122,0.39872945621,2005,acoustic
The Distance,Bounce - Special Edition,Bon Jovi,345.96526,0.839297677568,0.776303263519,2002,acoustic
Wildflower,Have A Nice Day,Bon Jovi,253.83138,0.839297677568,0.71889145567,2005,acoustic
The Radio Saved My Life Tonight,Have A Nice Day,Bon Jovi,314.20036,0.839297677568,0.71889145567,2004,acoustic
Till We Ain't Strangers Anymore,Lost Highway,Bon Jovi,318.09261,0.839297677568,0.71889145567,2008,acoustic
Celluloid Heroes,Misunderstood,Bon Jovi / Ray Davies,336.84853,0.839297677568,0.71889145567,2002,acoustic
I Love This Town,Whole Lot Of Leavin',Bon Jovi,286.35383,0.839297677568,0.71889145567,2007,acoustic
These Four Walls,These Four Walls,Shawn Colvin,177.18812,0.685502832087,0.44673296759,2006,acoustic
Ice Cream Man,Beer Town: The Table Top Collective Vol. 3,Session Americana,210.31138,0.444437249043,0.0,2007,acoustic
Broken Radio,Broken Radio,Jesse Malin,219.19302,0.755041349999,0.458592024908,2007,acoustic
Going Out West,Love It To Life,Jesse Malin,147.85261,0.755041349999,0.458592024908,2004,acoustic
Revelations,Love it to Life,Jesse Malin and The St. Marks Social,243.722,0.755041349999,0.458592024908,2007,acoustic
Since You're In Love,Mercury Retrograde,Jesse Malin,260.62322,0.755041349999,0.458592024908,2004,acoustic
Wendy,Mercury Retrograde,Jesse Malin,261.17179,0.755041349999,0.458592024908,2002,acoustic
Almost Grown,Messed Up Here Tonight,Jesse Malin,211.85261,0.755041349999,0.458592024908,2002,acoustic
Harmony,On Your Sleeve,Jesse Malin,165.40689,0.755041349999,0.458592024908,2008,acoustic
Walk On The Wild Side,On Your Sleeve,Jesse Malin,238.52363,0.755041349999,0.458592024908,2008,acoustic
Long Distance Moan,Penitentiary Blues,Blind Lemon Jefferson,201.79546,0.594866645475,0.3828469015,2007,acoustic
From The Pain,Adam Richman Live at Maxwell's 02/28/2006,Adam Richman,344.94649,0.600704000765,0.385851304394,2005,acoustic
Je Sais Que La Terre Est Plate,Je Sais Que La Terre Est Plate (Deluxe),Raphaël,148.74077,0.557460219739,0.386151631413,2008,acoustic
La Mémoire Des Jours,La Réalité,Raphaël,255.65995,0.557460219739,0.386151631413,2003,acoustic
Caravane (Live 2006),Une Nuit Au Châtelet,Raphaël,234.39628,0.557460219739,0.386151631413,2007,acoustic
TLFM (Toutes Les Femmes En Moi),Toutes Les Femmes En Moi,Lara Fabian,246.20363,0.631702561609,0.458210741502,2009,acoustic
L'Amour Existe Encore,Toutes Les Femmes En Moi,Lara Fabian,229.72036,0.631702561609,0.458210741502,2009,acoustic
Parchman Farm,LIVE AT SWEETWATER II,Hot Tuna,461.71383,0.567278871183,0.405178358908,2004,acoustic
Come Around (LP Version),Chasing Daylight,Sister Hazel,235.72853,0.731065755711,0.509878707853,2003,acoustic
Walls And Cannonballs (Album),Release,Sister Hazel,195.36934,0.731065755711,0.509878707853,2010,acoustic
Vacation Rain (Album),Release,Sister Hazel,231.36608,0.731065755711,0.509878707853,2010,acoustic
Star,Mikrokosmos,Krystof,301.24363,0.508636229134,0.372119118631,2004,acoustic
Prvni vesela,Rubikon,Krystof,262.55628,0.508636229134,0.372119118631,2006,acoustic
Ostravaczech,Rubikon,Krystof,285.67465,0.508636229134,0.372119118631,2006,acoustic
Svedomi,Rubikon,Krystof,222.32771,0.508636229134,0.372119118631,2006,acoustic
Mood Ring,Aint Love Strange,Paul Thorn,236.53832,0.583580795396,0.323452004357,2006,acoustic
Shooting Stars,So Far From Real,Cauterize,240.43057,0.537908276132,0.41772733755,2003,acoustic
Day Old Blues,Aha Shake Heartbreak,Kings Of Leon,212.97587,0.845768866449,0.837714708582,2004,acoustic
Ragoo,Because Of The Times,Kings Of Leon,181.13261,0.845768866449,0.788805935162,2007,acoustic
My Party (Kenna Remix),Charmer,Kings Of Leon,225.27955,0.845768866449,0.788805935162,2007,acoustic
Woo Hoo,Fans,Kings Of Leon,211.40853,0.845768866449,0.788805935162,2007,acoustic
