ID,Word,Count
503,interrupting,2
504,introduce,2
505,invitation,2
506,invited,2
507,isnt,7
508,isoh,2
509,itll,8
510,ive,34
511,jar,2
512,jaws,2
513,join,10
514,joined,2
515,judge,4
516,jumped,5
517,jumping,4
518,jurors,4
519,jury,17
520,jurybox,4
521,jurymen,5
522,just,52
523,keeping,2
524,kept,13
525,key,9
526,kick,3
527,kid,6
528,kind,7
529,kindly,2
530,king,59
531,kings,3
532,kitchen,4
533,knave,7
534,knee,4
535,knew,12
536,knife,2
537,knocking,3
538,knot,2
539,know,85
540,knowing,2
541,knowledge,3
542,knows,2
543,label,2
544,lady,3
545,lap,2
546,large,32
547,larger,7
548,lasted,2
549,late,6
550,later,3
551,latitude,2
552,laughed,2
553,laughing,2
554,law,2
555,lay,4
556,leaning,2
557,learn,7
558,learning,3
559,learnt,2
560,leave,8
561,leaves,6
562,led,4
563,left,14
564,lefthand,2
565,legs,3
566,lessons,10
567,let,17
568,lets,5
569,letter,3
570,lie,2
571,life,11
572,like,84
573,liked,6
574,likely,5
575,line,2
576,list,3
577,listen,7
578,listening,3
579,little,126
580,live,8
581,lived,3
582,livery,3
583,lives,4
584,living,2
585,lizard,5
586,lobster,7
587,lobsters,7
588,locks,2
589,lonely,2
590,long,31
591,longed,2
592,longer,3
593,longitude,2
594,look,28
595,looked,43
596,looking,30
597,lory,7
598,lost,3
599,loud,5
600,loudly,2
601,love,3
602,lovely,2
603,low,13
604,luckily,2
605,lying,7
606,ma,2
607,mabel,4
608,mad,14
609,majesty,10
610,make,26
611,makes,11
612,making,8
613,man,5
614,manage,7
615,managed,4
616,manner,2
617,march,33
618,mark,3
619,marked,6
620,mary,4
621,master,3
622,matter,9
623,matters,2
624,mean,10
625,meaning,8
626,means,4
627,meant,4
628,meekly,2
629,meet,2
630,melancholy,6
631,mentioned,3
632,mercia,2
633,merely,2
634,messages,2
635,met,3
636,mice,3
637,middle,7
638,mile,2
639,miles,3
640,mind,10
641,minute,20
642,minutes,11
643,miss,4
644,missed,2
645,mistake,3
646,mock,54
647,moment,28
648,moments,2
649,month,2
650,moral,8
651,morcar,2
652,morning,5
653,mouse,38
654,mouth,9
655,mouths,3
656,moved,4
657,moving,3
658,muchness,2
659,mushroom,8
660,music,3
661,mustard,2
662,muttered,2
663,muttering,3
664,mystery,2
665,names,2
666,narrow,2
667,natural,4
668,near,14
669,nearer,5
670,nearly,11
671,neatly,2
672,neck,7
673,neednt,3
674,nervous,5
675,new,5
676,nibbled,2
677,nibbling,3
678,nice,6
679,nicely,2
680,night,3
681,noise,3
682,nonsense,6
683,northumbria,2
684,nose,8
685,notebook,2
686,notice,5
687,noticed,8
688,notion,3
689,number,5
690,nurse,2
691,nursing,3
692,obliged,3
693,occurred,2
694,oclock,3
695,offended,10
696,offer,2
697,officers,4
698,oh,38
699,old,19
700,older,2
701,ones,2
702,open,6
703,opened,10
704,opening,3
705,opportunity,8
706,order,3
707,ordered,4
708,ordering,2
709,ornamented,2
710,ought,14
711,outoftheway,3
712,outside,4
713,owl,3
714,pack,4
715,painting,2
716,pair,6
717,pale,4
718,panther,3
719,panting,2
720,paper,4
721,parchment,2
722,pardon,6
723,paris,2
724,particular,4
725,party,8
726,passage,4
727,passed,5
728,passion,3
729,pat,2
730,patiently,2
731,pattering,3
732,pause,2
733,paw,3
734,paws,4
735,pebbles,2
736,peeped,3
737,pennyworth,2
738,people,13
739,pepper,7
740,perfectly,4
741,persisted,2
742,person,4
743,personal,2
744,picked,3
745,picking,2
746,pictures,4
747,pie,2
748,piece,5
749,pieces,3
750,pig,8
751,pigeon,12
752,pigs,2
753,pinch,2
754,pinched,2
755,pity,2
756,place,7
757,places,2
758,plan,4
759,plate,3
760,plates,2
761,play,8
762,players,4
763,playing,2
764,pleaded,3
765,pleased,7
766,plenty,2
767,pocket,5
768,pointing,4
769,poison,3
770,politely,6
771,pool,9
772,poor,27
773,porpoise,4
774,position,2
775,possibly,3
776,pray,3
777,present,3
778,presently,2
779,presents,2
780,pressed,3
781,prizes,5
782,proceed,2
783,procession,3
784,proper,3
785,proud,2
786,proved,2
787,proves,2
788,puppy,6
789,purring,2
790,putting,3
791,puzzled,9
792,puzzling,4
793,quadrille,4
794,quarrelling,2
795,queen,58
796,queens,7
797,queer,10
798,question,16
799,questions,3
800,quick,2
801,quickly,2
802,quiet,2
803,quietly,4
804,quite,55
805,rabbit,46
806,rabbithole,3
807,rabbits,4
808,race,2
809,railway,2
810,ran,15
811,rapidly,2
812,rate,9
813,raving,2
814,reach,4
815,read,11
816,reading,3
817,ready,8
818,real,3
819,really,13
820,reason,9
821,recovered,2
822,red,2
823,regular,2
824,relief,2
825,remained,3
826,remark,10
827,remarkable,2
828,remarked,10
829,remarking,3
830,remarks,3
831,remember,14
832,remembered,5
833,removed,2
834,repeat,7
835,repeated,10
836,repeating,3
837,replied,29
838,reply,4
839,rest,9
840,resting,2
841,returned,2
842,right,30
843,righthand,2
844,ring,2
845,ringlets,2
846,roof,6
847,room,13
848,roses,2
849,rosetree,3
850,round,41
851,row,2
852,rubbing,2
853,rude,2
854,rule,5
855,rules,3
856,run,4
857,running,8
858,rush,2
859,sad,3
860,sadly,5
861,safe,2
862,said,450
863,salt,2
864,sang,2
865,sat,16
866,savage,4
867,saw,14
868,say,50
869,saying,15
870,says,4
871,school,5
872,scream,2
873,screamed,2
874,scroll,2
875,sea,13
876,second,4
877,secondly,2
878,seen,14
879,sell,2
880,sending,2
881,sensation,2
882,sense,3
883,sent,2
884,sentence,6
885,serpent,9
886,serpents,3
887,set,14
888,settled,3
889,seven,6
890,severely,4
891,sh,2
892,shaking,3
893,shall,25
894,shant,5
895,shaped,3
896,sharp,6
897,sharply,4
898,shed,2
899,shell,3
900,shes,6
901,shoes,7
902,shook,9
903,shore,3
904,short,4
905,shorter,2
906,shoulder,4
907,shoulders,4
908,shouldnt,5
909,shouted,5
910,shouting,2
911,shower,2
912,showing,2
913,shriek,4
914,shrill,3
915,shrinking,4
916,shut,5
917,shutting,2
918,sides,4
919,sigh,4
920,sighed,5
921,sighing,3
922,sight,10
923,signed,2
924,silence,14
925,silent,5
926,simple,2
927,simply,2
928,sing,6
929,singers,2
930,singing,2
931,sir,7
932,sister,7
933,sisters,2
934,sit,8
935,sitting,10
936,size,13
937,sky,4
938,slate,2
939,slates,7
940,sleep,6
941,sleepy,5
942,slipped,3
943,slowly,8
944,small,10
945,smaller,3
946,smallest,2
947,smile,2
948,smiled,2
949,smiling,2
950,smoking,2
951,snail,3
952,snatch,2
953,sneezes,2
954,sneezing,6
955,sobbing,3
956,sobs,2
957,soldiers,5
958,solemn,3
959,solemnly,4
960,somebody,7
961,song,7
962,soon,25
963,sooner,2
964,soooop,10
965,sorrow,2
966,sorrowful,2
967,sort,20
968,sorts,3
969,sound,4
970,sounded,5
971,sounds,4
972,soup,18
973,speak,14
974,speaking,5
975,spectacles,3
976,speech,3
977,splashing,2
978,spoke,14
979,spoon,2
980,spread,3
981,stairs,3
982,stamping,2
983,stand,6
984,staring,3
985,started,2
986,startled,2
987,stay,5
988,stick,4
989,stirring,2
990,stole,2
991,stood,6
992,stoop,2
993,stop,6
994,stopped,3
995,story,8
996,straight,2
997,strange,4
998,stretched,2
999,stretching,2
1000,struck,2
1001,stuff,4
1002,stupid,6
1003,subject,6
1004,succeeded,3
1005,sudden,5
1006,suddenly,13
1007,suit,3
1008,sulkily,2
1009,sulky,3
1010,sun,2
1011,suppose,14
1012,suppressed,3
1013,sure,24
1014,surprise,5
1015,surprised,6
1016,swam,5
1017,swim,5
1018,swimming,2
1019,table,18
1020,tail,9
1021,tails,3
1022,taken,4
1023,takes,2
1024,taking,5
1025,tale,3
1026,talk,14
1027,talking,17
1028,taller,2
1029,tarts,7
1030,taste,2
1031,tasted,3
1032,taught,4
1033,tea,12
1034,teacup,3
1035,teaparty,2
1036,tears,11
1037,teatime,2
1038,telescope,3
1039,tell,30
1040,telling,2
1041,tells,2
1042,temper,5
1043,thank,4
1044,thats,32
1045,themand,2
1046,theres,24
1047,theyd,4
1048,theyll,4
1049,theyre,13
1050,thimble,4
1051,thing,49
1052,things,28
1053,think,53
1054,thinking,11
1055,thistle,2
1056,thoroughly,2
1057,thought,75
1058,thoughtfully,4
1059,thoughts,2
1060,thousand,2
1061,threelegged,2
1062,threw,2
1063,throat,2
1064,throw,3
1065,throwing,2
1066,thump,2
1067,till,21
1068,time,68
1069,times,6
1070,timid,2
1071,timidly,8
1072,tiny,4
1073,tired,7
1074,tis,5
1075,today,4
1076,toes,3
1077,told,6
1078,tone,38
1079,tones,2
1080,tongue,4
1081,took,24
1082,tortoise,3
1083,tossing,3
1084,treacle,5
1085,treading,2
1086,tree,5
1087,trees,7
1088,trembled,2
1089,trembling,6
1090,trial,7
1091,trials,4
1092,tried,19
1093,triumphantly,2
1094,trotting,2
1095,trouble,6
1096,true,4
1097,trumpet,4
1098,trumpetidwiaw,2
1099,trumpetisly,2
1100,try,12
1101,trying,13
1102,tucked,3
1103,tumbling,2
1104,turn,9
1105,turned,14
1106,turning,11
1107,turns,3
1108,turtle,55
1109,turtles,3
1110,tut,2
1111,twentyfour,2
1112,twice,5
1113,twinkle,8
1114,twinkling,4
1115,twist,2
1116,ugh,2
1117,uglification,2
1118,ugly,2
1119,uncomfortable,4
1120,understand,6
1121,undertone,2
1122,uneasily,2
1123,unfolded,2
1124,unfortunate,2
1125,unhappy,2
1126,unimportant,3
1127,unless,2
1128,unpleasant,2
1129,unrolled,2
1130,upset,3
1131,use,18
1132,used,12
1133,useful,2
1134,using,2
1135,usual,5
1136,usually,2
1137,vanished,4
1138,venture,3
1139,ventured,4
1140,verdict,3
1141,verse,4
1142,verses,4
1143,violent,2
1144,violently,4
1145,voice,44
1146,voices,2
1147,waistcoatpocket,2
1148,waited,11
1149,waiting,9
1150,wake,2
1151,walk,5
1152,walked,10
1153,walking,4
1154,wandering,2
1155,want,9
1156,wanted,4
1157,wants,2
1158,wash,2
1159,washing,2
1160,wasnt,11
1161,wasting,2
1162,watch,8
1163,watched,2
1164,watching,3
1165,water,4
1166,waving,4
1167,way,51
1168,week,3
1169,went,82
1170,wet,2
1171,weve,2
1172,whats,5
1173,whiskers,3
1174,whisper,3
1175,whispered,4
1176,white,36
1177,whiting,8
1178,wide,2
1179,wig,2
1180,wildly,2
1181,william,7
1182,window,8
1183,wine,2
1184,wink,2
1185,wise,2
1186,wish,21
1187,witness,10
1188,won,2
1189,wonder,18
1190,wonderful,2
1191,wondering,6
1192,wont,24
1193,wood,7
1194,word,10
1195,words,21
1196,work,8
1197,world,7
1198,worse,3
1199,worth,4
1200,wouldnt,13
1201,wow,6
1202,wretched,2
1203,write,6
1204,writing,4
1205,written,6
1206,wrong,5
1207,wrote,3
1208,yaw,4
1209,yawned,2
1210,yawning,2
1211,year,2
1212,yer,4
1213,yes,12
1214,yesterday,3
1215,youd,10
1216,youll,6
1217,young,5
1218,youre,23
1219,youth,6
1220,youve,6
